% time	cellId	IMSI	RNTI	rsrp	sinr
2.76721	1	5	4	6.54155e-11	2.6511
2.76821	1	1	2	6.24348e-11	2.34847
2.76821	1	2	6	6.32906e-11	2.42613
2.76821	1	3	1	6.40764e-11	2.50268
2.76821	1	4	3	6.47862e-11	2.57775
2.76821	1	5	4	6.54142e-11	2.65094
2.76921	1	1	2	6.24316e-11	2.34819
2.76921	1	2	6	6.32879e-11	2.42587
2.76921	1	3	1	6.40743e-11	2.50246
2.76921	1	4	3	6.47845e-11	2.57757
2.76921	1	5	4	6.54129e-11	2.65079
2.77021	1	1	2	6.24284e-11	2.34791
2.77021	1	2	6	6.32853e-11	2.42562
2.77021	1	3	1	6.40721e-11	2.50224
2.77021	1	4	3	6.47828e-11	2.57738
2.77021	1	5	4	6.54117e-11	2.65063
2.77121	1	1	2	6.24252e-11	2.34762
2.77121	1	2	6	6.32826e-11	2.42537
2.77121	1	3	1	6.407e-11	2.50202
2.77121	1	4	3	6.47811e-11	2.57719
2.77121	1	5	4	6.54104e-11	2.65048
2.77221	1	1	2	6.2422e-11	2.34734
2.77221	1	2	6	6.32799e-11	2.42512
2.77221	1	3	1	6.40678e-11	2.50181
2.77221	1	4	3	6.47794e-11	2.577
2.77221	1	5	4	6.54091e-11	2.65032
2.77321	1	1	2	6.24188e-11	2.34706
2.77321	1	2	6	6.32772e-11	2.42487
2.77321	1	3	1	6.40656e-11	2.50159
2.77321	1	4	3	6.47777e-11	2.57681
2.77321	1	5	4	6.54078e-11	2.65016
2.77421	1	1	2	6.24156e-11	2.34678
2.77421	1	2	6	6.32746e-11	2.42462
2.77421	1	3	1	6.40635e-11	2.50137
2.77421	1	4	3	6.4776e-11	2.57663
2.77421	1	5	4	6.54066e-11	2.65001
2.77521	1	1	2	6.24123e-11	2.34649
2.77521	1	2	6	6.32719e-11	2.42437
2.77521	1	3	1	6.40613e-11	2.50115
2.77521	1	4	3	6.47743e-11	2.57644
2.77521	1	5	4	6.54053e-11	2.64985
2.77621	1	1	2	6.24091e-11	2.34621
2.77621	1	2	6	6.32692e-11	2.42412
2.77621	1	3	1	6.40591e-11	2.50093
2.77621	1	4	3	6.47726e-11	2.57625
2.77621	1	5	4	6.5404e-11	2.64969
2.77721	1	1	2	6.24059e-11	2.34593
2.77721	1	2	6	6.32665e-11	2.42387
2.77721	1	3	1	6.40569e-11	2.50071
2.77721	1	4	3	6.4771e-11	2.57606
2.77721	1	5	4	6.54028e-11	2.64954
2.77821	1	1	2	6.24027e-11	2.34565
2.77821	1	2	6	6.32639e-11	2.42362
2.77821	1	3	1	6.40548e-11	2.50049
2.77821	1	4	3	6.47693e-11	2.57588
2.77821	1	5	4	6.54015e-11	2.64938
2.77921	1	1	2	6.23995e-11	2.34537
2.77921	1	2	6	6.32612e-11	2.42336
2.77921	1	3	1	6.40526e-11	2.50027
2.77921	1	4	3	6.47676e-11	2.57569
2.77921	1	5	4	6.54002e-11	2.64922
2.78021	1	1	2	6.23962e-11	2.34508
2.78021	1	2	6	6.32585e-11	2.42311
2.78021	1	3	1	6.40504e-11	2.50005
2.78021	1	4	3	6.47659e-11	2.5755
2.78021	1	5	4	6.53989e-11	2.64907
2.78121	1	1	2	6.2393e-11	2.3448
2.78121	1	2	6	6.32558e-11	2.42286
2.78121	1	3	1	6.40483e-11	2.49983
2.78121	1	4	3	6.47642e-11	2.57531
2.78121	1	5	4	6.53977e-11	2.64891
2.78221	1	1	2	6.23898e-11	2.34452
2.78221	1	2	6	6.32531e-11	2.42261
2.78221	1	3	1	6.40461e-11	2.49961
2.78221	1	4	3	6.47625e-11	2.57512
2.78221	1	5	4	6.53964e-11	2.64876
2.78321	1	1	2	6.23866e-11	2.34424
2.78321	1	2	6	6.32504e-11	2.42236
2.78321	1	3	1	6.40439e-11	2.49939
2.78321	1	4	3	6.47607e-11	2.57494
2.78321	1	5	4	6.53951e-11	2.6486
2.78421	1	1	2	6.23834e-11	2.34396
2.78421	1	2	6	6.32478e-11	2.42211
2.78421	1	3	1	6.40417e-11	2.49917
2.78421	1	4	3	6.4759e-11	2.57475
2.78421	1	5	4	6.53938e-11	2.64844
2.78521	1	1	2	6.23801e-11	2.34367
2.78521	1	2	6	6.32451e-11	2.42186
2.78521	1	3	1	6.40396e-11	2.49895
2.78521	1	4	3	6.47573e-11	2.57456
2.78521	1	5	4	6.53926e-11	2.64829
2.78621	1	1	2	6.23769e-11	2.34339
2.78621	1	2	6	6.32424e-11	2.42161
2.78621	1	3	1	6.40374e-11	2.49873
2.78621	1	4	3	6.47556e-11	2.57437
2.78621	1	5	4	6.53913e-11	2.64813
2.78721	1	1	2	6.23737e-11	2.34311
2.78721	1	2	6	6.32397e-11	2.42136
2.78721	1	3	1	6.40352e-11	2.49851
2.78721	1	4	3	6.47539e-11	2.57419
2.78721	1	5	4	6.539e-11	2.64797
2.78821	1	1	2	6.23705e-11	2.34283
2.78821	1	2	6	6.3237e-11	2.42111
2.78821	1	3	1	6.4033e-11	2.49829
2.78821	1	4	3	6.47522e-11	2.574
2.78821	1	5	4	6.53887e-11	2.64782
2.78921	1	1	2	6.23672e-11	2.34254
2.78921	1	2	6	6.32343e-11	2.42085
2.78921	1	3	1	6.40309e-11	2.49807
2.78921	1	4	3	6.47505e-11	2.57381
2.78921	1	5	4	6.53875e-11	2.64766
2.79021	1	1	2	6.2364e-11	2.34226
2.79021	1	2	6	6.32316e-11	2.4206
2.79021	1	3	1	6.40287e-11	2.49785
2.79021	1	4	3	6.47488e-11	2.57362
2.79021	1	5	4	6.53862e-11	2.6475
2.79121	1	1	2	6.23608e-11	2.34198
2.79121	1	2	6	6.3229e-11	2.42035
2.79121	1	3	1	6.40265e-11	2.49764
2.79121	1	4	3	6.47471e-11	2.57343
2.79121	1	5	4	6.53849e-11	2.64735
2.79221	1	1	2	6.23575e-11	2.3417
2.79221	1	2	6	6.32263e-11	2.4201
2.79221	1	3	1	6.40243e-11	2.49742
2.79221	1	4	3	6.47454e-11	2.57325
2.79221	1	5	4	6.53836e-11	2.64719
2.79321	1	1	2	6.23543e-11	2.34141
2.79321	1	2	6	6.32236e-11	2.41985
2.79321	1	3	1	6.40221e-11	2.4972
2.79321	1	4	3	6.47437e-11	2.57306
2.79321	1	5	4	6.53823e-11	2.64703
2.79421	1	1	2	6.23511e-11	2.34113
2.79421	1	2	6	6.32209e-11	2.4196
2.79421	1	3	1	6.402e-11	2.49698
2.79421	1	4	3	6.4742e-11	2.57287
2.79421	1	5	4	6.53811e-11	2.64688
2.79521	1	1	2	6.23479e-11	2.34085
